	Words Popularity in CS	Purity in CS	Raw number: CS and keyword	Arxiv Pop	Arxiv Pur	Arxiv Single Word Count	label
"  eight
"	0.22689655172413792	0.07324263038548753	32219310	0.00993421052631579	0.11507936507936507	135000.0	0
"  either
"	0.8206896551724138	0.11746031746031746	116537931	0.07105263157894737	0.034782608695652174	2880000.0	0
"  else
"	0.2537931034482759	0.04025157232704402	36038620	0.02	0.22686567164179106	125000.0	0
"  elsewhere
"	0.09241379310344827	0.08193548387096775	13122758	0.006467105263157895	0.08412698412698413	123000.0	0
"  enough
"	0.5248275862068965	0.06461538461538462	74525517	0.044144736842105264	0.02568181818181818	2960000.0	0
"  entirely
"	0.17379310344827587	0.10163265306122449	24678620	0.01381578947368421	0.1076530612244898	193000.0	0
"  especially
"	0.6620689655172414	0.09705882352941177	94013793	0.03236842105263158	0.03037037037037037	1400000.0	0
"  et
"	0.696551724137931	0.023038277511961722	98910344	0.07434210526315789	0.03076923076923077	2790000.0	0
"  etc
"	0.7379310344827587	0.054228855721393035	104786206	0.030263157894736843	0.031292517006802724	941000.0	0
"  even
"	0.9103448275862069	0.05183823529411765	129268965	0.0756578947368421	0.04072847682119205	2840000.0	0
"  ever
"	0.4613793103448276	0.03923076923076923	65515862	0.022039473684210525	0.1261061946902655	226000.0	0
"  every
"	0.9172413793103448	0.04636678200692042	130248275	0.06388157894736841	0.03986710963455149	2510000.0	0
"  everybody
"	0.042482758620689655	0.022529644268774702	6032551	0.0007631578947368421	0.29439252336448596	4080.0	0
"  everyone
"	0.30896551724137933	0.02592105263157895	43873103	0.0025394736842105263	0.31848739495798317	11800.0	0
"  everything
"	0.34758620689655173	0.03006024096385542	49357241	0.007828947368421053	0.1539509536784741	67000.0	0
"  everywhere
"	0.04786206896551724	0.03092436974789916	6796413	0.006381578947368421	0.08362068965517241	117000.0	0
"  ex
"	0.2096551724137931	0.023380281690140847	29771034	0.035394736842105264	0.02076687116564417	2910000.0	0
"  exactly
"	0.29379310344827586	0.0905109489051095	41718620	0.049078947368421055	0.028974358974358974	2660000.0	0
"  example
"	0.9310344827586207	0.1252336448598131	132206896	0.07828947368421052	0.044169611307420496	2890000.0	0
"  except
"	0.3220689655172414	0.08114754098360656	45733793	0.036776315789473685	0.03340659340659341	2070000.0	0
"  far
"	0.6641379310344827	0.05903846153846154	94307586	0.04980263157894737	0.027016129032258064	1870000.0	0
"  few
"	1.006896551724138	0.07580645161290323	142979310	0.04802631578947368	0.032589285714285716	3190000.0	0
"  fifth
"	0.1606896551724138	0.1066079295154185	22817931	0.00993421052631579	0.17905405405405406	88000.0	0
"  first
"	1.013793103448276	0.021800947867298578	143958620	0.12631578947368421	0.06954732510288066	2910000.0	0
"  five
"	0.6324137931034483	0.06557142857142857	89802758	0.02539473684210526	0.024430379746835443	1580000.0	0
"  followed
"	0.3717241379310345	0.09508474576271186	52784827	0.03	0.038677685950413224	960000.0	0
"  following
"	0.8758620689655172	0.06292682926829268	124372413	0.08157894736842106	0.046691176470588236	2670000.0	0
"  follows
"	0.48482758620689653	0.19619565217391305	68845517	0.0756578947368421	0.03771043771043771	3120000.0	0
"  for
"	0.903448275862069	0.005108608205953338	128289655	0.9605263157894737	0.2761609907120743	2880000.0	0
"  former
"	0.3986206896551724	0.086987270155587	56604137	0.02144736842105263	0.07342342342342342	476000.0	0
"  formerly
"	0.05627586206896552	0.0520945945945946	7991172	0.001138157894736842	0.1446280991735537	10800.0	0
"  forth
"	0.08413793103448276	0.06067073170731707	11947586	0.005677631578947368	0.15115384615384617	52400.0	0
"  four
"	0.903448275862069	0.078125	128289655	0.05032894736842105	0.030871212121212122	1910000.0	0
"  from
"	0.8275862068965517	0.0073910296904611495	117517241	0.875	0.36231884057971014	2610000.0	0
"  further
"	0.9655172413793104	0.1206896551724138	137103448	0.07894736842105263	0.041107871720116616	2920000.0	0
"  furthermore
"	0.30344827586206896	0.22791878172588834	43089655	0.05453947368421053	0.028685121107266436	2900000.0	0
"  get
"	1.0344827586206897	0.013320079522862823	146896551	0.10789473684210527	0.05178571428571429	3000000.0	0
"  gets
"	0.21241379310344827	0.024583333333333332	30162758	0.017631578947368422	0.13080357142857144	213000.0	0
"  getting
"	0.5117241379310344	0.04314285714285714	72664827	0.010723684210526316	0.227330779054917	93600.0	0
"  given
"	0.903448275862069	0.11794871794871795	128289655	0.09736842105263158	0.05106382978723404	3020000.0	0
"  gives
"	0.5682758620689655	0.07266331658291457	80695172	0.05828947368421052	0.030303030303030304	2810000.0	0
"  go
"	0.9172413793103448	0.023519163763066203	130248275	0.028092105263157894	0.041442307692307695	923000.0	0
"  goes
"	0.2827586206896552	0.05913669064748201	40151724	0.020328947368421054	0.08282548476454293	367000.0	0
"  going
"	0.5586206896551724	0.04088082901554404	79324137	0.023223684210526317	0.07942583732057416	385000.0	0
"  gone
"	0.09310344827586207	0.017945383615084524	13220689	0.0019078947368421052	0.15490196078431373	26500.0	0
"  got
"	0.4579310344827586	0.03258883248730964	65026206	0.005203947368421053	0.2016042780748663	39700.0	0
"  gotten
"	0.014758620689655172	0.017555555555555557	2095724	0.0005710526315789474	0.1791044776119403	5970.0	0
"  greetings
"	0.010275862068965518	0.011260504201680671	1459172	8.289473684210526e-05	0.3925233644859813	414.0	0
"  had
"	0.9241379310344827	0.04604810996563574	131227586	0.026644736842105263	0.03721739130434783	1530000.0	0
"  hadn't
"	0.00676551724137931	0.011671052631578947	960703	0.00015460526315789474	0.28869778869778867	702.0	0
"  happens
"	0.18482758620689654	0.06444444444444444	26245517	0.019671052631578947	0.12872727272727272	225000.0	0
"  hardly
"	0.04089655172413793	0.050512820512820515	5807310	0.004421052631578947	0.10407166123778501	64500.0	0
"  has
"	0.9586206896551724	0.017530864197530863	136124137	0.13026315789473683	0.054093567251461985	2970000.0	0
"  hasn't
"	0.02882758620689655	0.01161993769470405	4093517	0.0006907894736842105	0.305111821086262	3150.0	0
"  have
"	0.8620689655172413	0.014182939362795478	122413793	0.16513157894736843	0.09853372434017596	3100000.0	0
"  haven't
"	0.07379310344827586	0.024086294416243655	10478620	0.0009605263157894736	0.23627287853577372	5940.0	0
"  having
"	0.7172413793103448	0.06823529411764706	101848275	0.1125	0.05533980582524272	2960000.0	0
"  he
"	1.0	0.03910761154855643	142000000	0.032828947368421055	0.042516129032258064	1460000.0	0
"  he's
"	0.03889655172413793	0.013055555555555556	5523310	0.0002243421052631579	0.3447927199191102	996.0	0
"  hello
"	0.09241379310344827	0.011293103448275861	13122758	0.0006447368421052632	0.39245283018867927	2720.0	0
"  help
"	0.9379310344827586	0.022281639928698752	133186206	0.1375	0.09523809523809523	2910000.0	0
"  hence
"	0.3275862068965517	0.2245	46517241	0.061644736842105266	0.03202205882352941	3300000.0	0
"  her
"	0.5896551724137931	0.021530864197530863	83731034	0.01368421052631579	0.21739130434782608	89000.0	0
"  here
"	0.8344827586206897	0.022586520947176687	118496551	0.3171052631578947	0.15593220338983052	2760000.0	0
"  here's
"	0.08068965517241379	0.01744360902255639	11457931	0.00033026315789473686	0.38046875	1500.0	0
"  hereafter
"	0.00910344827586207	0.04928909952606635	1292689	0.004460526315789474	0.06267857142857143	129000.0	0
"  hereby
"	0.010275862068965518	0.017593643586833144	1459172	0.0009539473684210526	0.15553121577217963	9410.0	0
"  herein
"	0.020689655172413793	0.02762762762762763	2937931	0.0031907894736842106	0.15664556962025317	31800.0	0
"  hereupon
"	2.8758620689655172e-05	0.010973684210526316	4083	1.3157894736842106e-05	0.1	205.0	0
"  hers
"	0.002620689655172414	0.006537162162162162	372137	0.0001868421052631579	0.3242009132420091	968.0	0
"  herself
"	0.03358620689655172	0.01852517985611511	4769241	0.0011776315789473685	0.4282178217821782	4250.0	0
"  hi
"	0.1917241379310345	0.013421052631578948	27224827	0.011973684210526315	0.11052631578947368	184000.0	0
"  him
"	0.20413793103448277	0.023933333333333334	28987586	0.005282894736842105	0.2217283950617284	41200.0	0
"  himself
"	0.09862068965517241	0.0412568306010929	14004137	0.0019473684210526317	0.18414634146341463	17700.0	0
"  his
"	0.9448275862068966	0.039655172413793106	134165517	0.03190789473684211	0.11705607476635514	573000.0	0
"  hither
"	0.00024413793103448276	0.006737864077669903	34667	1.3157894736842106e-05	0.17391304347826086	105.0	0
"  hopefully
"	0.039310344827586205	0.03579787234042553	5582068	0.0025592105263157893	0.12571428571428572	27000.0	0
"  how
"	1.006896551724138	0.020605187319884727	142979310	0.08421052631578947	0.04962121212121212	3310000.0	0
"  howbeit
"	0.00025241379310344826	0.07395437262357414	35842	1.3157894736842106e-05	0.24390243902439024	83.0	0
"  however
"	1.0551724137931036	0.10148148148148148	149834482	0.09342105263157895	0.04152046783625731	3330000.0	0
"  i'd
"	0.1096551724137931	0.023390894819466247	15571034	0.004986842105263158	0.14389721627408994	41600.0	0
"  i'll
"	0.08344827586206896	0.015142857142857144	11849655	0.0003618421052631579	0.22	2300.0	0
"  i'm
"	0.3448275862068966	0.021160714285714286	48965517	0.006125	0.14419970631424375	57900.0	0
"  i've
"	0.17862068965517242	0.024134615384615386	25364137	0.0005184210526315789	0.2733082706766917	2410.0	0
"  ie
"	0.6117241379310345	0.08940540540540541	86864827	0.08486842105263158	0.04427244582043344	2830000.0	0
"  if
"	0.8482758620689655	0.016928657799274487	120455172	0.15986842105263158	0.08366013071895424	2340000.0	0
"  ignored
"	0.07310344827586207	0.1040909090909091	10380689	0.008552631578947369	0.11652173913043479	113000.0	0
"  immediate
"	0.19448275862068964	0.08328445747800586	27616551	0.017434210526315788	0.13678756476683937	185000.0	0
"  in
"	0.8344827586206897	0.00337798485730926	118496551	1.111842105263158	0.48773006134969327	3090000.0	0
"  inasmuch
"	0.0020344827586206895	0.035955056179775284	288896	0.0003039473684210526	0.1391812865497076	3440.0	0
"  inc
"	0.7034482758620689	0.02427616926503341	99889655	0.015065789473684211	0.15472972972972973	157000.0	0
"  indeed
"	0.2613793103448276	0.10163487738419619	37115862	0.0443421052631579	0.02923076923076923	2900000.0	0
"  indicate
"	0.2537931034482759	0.18484848484848485	36038620	0.03111842105263158	0.02017467248908297	2310000.0	0
"  indicated
"	0.24344827586206896	0.16196581196581197	34569655	0.01625	0.020964912280701756	1030000.0	0
"  indicates
"	0.32482758620689656	0.17941176470588235	46125517	0.03105263157894737	0.02731958762886598	2490000.0	0
"  inner
"	0.13241379310344828	0.040134529147982066	18802758	0.019276315789473683	0.08735955056179776	374000.0	0
"  insofar
"	0.00196551724137931	0.02841121495327103	279103	0.0006296052631578948	0.1026824034334764	7970.0	0
"  instead
"	0.696551724137931	0.13085234093637454	98910344	0.06401315789473684	0.032214285714285716	2770000.0	0
"  into
"	0.9172413793103448	0.02727272727272727	130248275	0.10723684210526316	0.04190751445086705	2430000.0	0
"  inward
"	0.0036551724137931034	0.02095617529880478	519034	0.0007039473684210526	0.03948339483394834	30200.0	0
"  is
"	0.9379310344827586	0.0061121323529411764	133186206	0.7894736842105263	0.2894259818731118	2710000.0	0
"  isn't
"	0.16482758620689655	0.03236994219653179	23405517	0.002302631578947368	0.1935897435897436	13400.0	0
"  it
"	0.9379310344827586	0.008359522313010685	133186206	0.15394736842105264	0.07730496453900709	2750000.0	0
"  it'd
"	0.002096551724137931	0.007261306532663317	297710	0.0002736842105263158	0.20601092896174864	1600.0	0
"  it'll
"	0.0064482758620689655	0.009260823653643084	915655	0.0001118421052631579	0.3359683794466403	437.0	0
"  it's
"	0.7034482758620689	0.03171617161716172	99889655	0.0075	0.18888888888888888	55000.0	0
"  its
"	0.9724137931034482	0.03	138082758	0.1125	0.05379310344827586	2670000.0	0
"  itself
"	0.47793103448275864	0.1416030534351145	67866206	0.04177631578947368	0.02539622641509434	2550000.0	0
"  just
"	0.9103448275862069	0.022887323943661973	129268965	0.04881578947368421	0.02867986798679868	3030000.0	0
"  keep
"	0.9241379310344827	0.06100917431192661	131227586	0.028223684210526317	0.06618497109826589	732000.0	0
"  keeps
"	0.11103448275862068	0.047402597402597405	15766896	0.00993421052631579	0.2019704433497537	78500.0	0
"  kept
"	0.18	0.06408450704225352	25560000	0.011776315789473683	0.1300653594771242	151000.0	0
"  know
"	0.9172413793103448	0.03538461538461538	130248275	0.04407894736842105	0.03246376811594203	1830000.0	0
"  knows
"	0.10275862068965518	0.038766519823788544	14591724	0.008289473684210527	0.29156626506024097	41600.0	0
"  known
"	0.8827586206896552	0.09084507042253522	125351724	0.07960526315789473	0.04037854889589906	3200000.0	0
"  last
"	0.8827586206896552	0.028930817610062894	125351724	0.0881578947368421	0.05253623188405797	2940000.0	0
"  lately
"	0.011931034482758621	0.015607476635514018	1694206	0.0010592105263157894	0.1438095238095238	9210.0	0
"  later
"	0.8344827586206897	0.05968586387434555	118496551	0.044276315789473684	0.023308823529411764	2340000.0	0
"  latter
"	0.22137931034482758	0.19017341040462427	31435862	0.03796052631578947	0.0237593984962406	2280000.0	0
"  latterly
"	0.0002096551724137931	0.017572254335260117	29771	3.157894736842105e-05	0.17647058823529413	272.0	0
"  least
"	0.8758620689655172	0.12314814814814815	124372413	0.062434210526315786	0.034384057971014494	2830000.0	0
"  less
"	0.7724137931034483	0.06390243902439025	109682758	0.06223684210526316	0.04216867469879518	2700000.0	0
"  lest
"	0.0025724137931034483	0.009663212435233161	365282	0.0003506578947368421	0.22148760330578512	2430.0	0
"  let
"	0.5324137931034483	0.03648068669527897	75602758	0.0643421052631579	0.03065830721003135	2650000.0	0
"  let's
"	0.12137931034482759	0.02368421052631579	17235862	0.00506578947368421	0.15808080808080807	39900.0	0
"  like
"	0.9517241379310345	0.0165	135144827	0.06644736842105263	0.04028776978417266	2990000.0	0
"  liked
"	0.1406896551724138	0.02395128552097429	19977931	0.0008486842105263158	0.38440111420612816	3300.0	0
"  likely
"	0.5337931034482759	0.12	75798620	0.028355263157894738	0.0236046511627907	1320000.0	0
"  little
"	0.6503448275862069	0.032736486486486485	92348965	0.028223684210526317	0.040127388535031845	1620000.0	0
